statement_edition,statement_source,statement_text
"on Monday, October 8th, 2018",Donald Trump,"""Every single Democrat in the U.S. Senate has signed up for the open borders, and it's a bill, it's called the ‘open borders bill.’""
"
"on Monday, October 8th, 2018",Heidi Heitkamp,"Says ""On the Public Service Commission, (Kevin Cramer) raised his pay to over $93,650.""
"
"on Saturday, October 6th, 2018",Josh Hawley,"Says a bill co-sponsored by Sen. Claire McCaskill ""would give a free pass to any illegal immigrant who brings a child to the border.""
"
"on Thursday, October 4th, 2018",Donald Trump,"Says Sen. Richard Blumenthal said he served in Vietnam in ""Da Nang Province. Soldiers dying left and right as we battled up the hill."" And ""then he cried when (the press) caught him.""

 
"
"on Tuesday, October 2nd, 2018",Martha McSally,"Says Rep. Kyrsten Sinema supported a bill that is ""essentially encouraging child trafficking.""
"
"on Tuesday, October 2nd, 2018",Donald Trump,"Says Republicans ""just passed"" the Veterans Choice program after 44 years of trying. ""They've been trying to pass that one for many, many decades.""
"
"on Tuesday, October 2nd, 2018",Rickey Padgett,"John Kerry is ""now working on the behalf of foreign terrorist governments.""
"
"on Thursday, September 27th, 2018",  Stop Deceptive Amendments,"Every former North Carolina governor opposes ""constitutional amendments Raleigh lawmakers put on the ballot this fall.""
"
"on Wednesday, September 26th, 2018", Bloggers,"""Kavanaugh accuser’s husband breaks his silence, exposes ‘sick issue’ his wife has.""
"
"on Wednesday, September 26th, 2018",Mike Bishop,"Says Elissa Slotkin’s plan is to take Medicare away from current senior recipients.
"
"on Wednesday, September 26th, 2018",Mike DeWine,"Says Richard Cordray’s ""plan would allow drug dealers to remain on our streets.""

 
"
"on Monday, September 24th, 2018",Donald Trump,"Under the North American Free Trade Agreement, ""we lost millions of jobs.""
"
"on Sunday, September 23rd, 2018",Bruce Rauner,"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""
"
"on Friday, September 21st, 2018",Marc Molinaro,"Says Gov. Andrew Cuomo is ""stealing money from the MTA and sending it upstate for projects that have nothing to do with transit.""
"
"on Thursday, September 20th, 2018", Bloggers,"Says Brett Kavanaugh’s mother presided over foreclosure case against Christine Blasey Ford’s parents, which fueled motivation for sexual assault accusation.
"
"on Thursday, September 20th, 2018",Donald Trump,"On investigating during the Supreme Court confirmation process, ""The FBI doesn’t do that.""
"
