statement_edition,statement_source,statement_text
"on Tuesday, November 13th, 2018", Bloggers,"""Caravan Violence: Invaders Shoot At Police, Set Fire To Immigration Checkpoint""

 
"
"on Friday, November 9th, 2018",Tammy Baldwin,"Says VA doctors are ""censored from being able to talk to their patients"" about marijuana, even in states where it is legal for medicinal use
"
"on Tuesday, November 6th, 2018",Ron DeSantis,"Says that Andrew Gillum said, ""Police and prisons have no place in justice.""
"
"on Monday, November 5th, 2018",Mike Bost,"Says Brendan Kelly ""allowed half of the criminals he faced to walk free"" and ""failed to protect women who were violently assaulted,"" allowing ""those guilty of sexual assault to cut inexcusable plea deals.""

 
"
"on Monday, November 5th, 2018",Claire McCaskill,"""The Collins-Nelson bill will not protect pre-existing conditions. It has nothing to do with pre-existing conditions.""
"
"on Monday, November 5th, 2018",Mike Braun,"Says he didn't support the lawsuit to repeal the Affordable Care Act.
"
"on Monday, November 5th, 2018", Democratic Congressional Campaign Committee,"Says New York Rep. John Faso ""cast the deciding vote"" to try to kill health care protections provided by Obamacare.

 
"
"on Sunday, November 4th, 2018", Senate Leadership Fund,"""In Washington, McCaskill joined the liberals for giving amnesty to 11 million illegal immigrants.""
"
"on Saturday, November 3rd, 2018",Mark Harris,"""Liberal Democrats"" who back Dan McCready ""cut $716 BILLION from Medicare to fund their healthcare scheme: Obamacare.""
"
"on Friday, November 2nd, 2018", Priorities USA Action,"""If Rick Scott had his way he would encourage racially profiling immigrant communities here in Florida. He also opposed allowing Dreamers to remain in the U.S.""
"
"on Friday, November 2nd, 2018",Tony Evers,"Says Scott Walker ‘cut $800 million from our schools.’
"
"on Friday, November 2nd, 2018",Gil Cisneros,"Says California Republican Young Kim is ""a tax cheat"" who ""illegally claimed a $7,000 annual homestead exemption on a house she wasn’t living in,"" had ""multiple tax liens placed on her"" as a result and ""owes over $10,000 in unpaid federal income taxes.""

 
"
"on Thursday, November 1st, 2018",Ken Paxton,"Says Ken Paxton ""shut down the world’s largest human trafficking marketplace.""
"
"on Thursday, November 1st, 2018",Josh Hawley,"Says Claire McCaskill ""voted against including health records in the background check system.""
"
"on Thursday, November 1st, 2018",Claire McCaskill,"""I made my decision on Kavanaugh before the allegations surfaced, and it was all about Kavanaugh's alliance and allegiance to dark money and unlimited political contributions.""
"
"on Thursday, November 1st, 2018", Bloggers,"""Pipe bomber suspect pictured last year with Izzy Hernandez. ... a Democrat Donor/Supporter.""

 
"
"on Tuesday, October 30th, 2018",Linda Coleman,"""Seniors can be charged five times what anybody else is charged for health care for pre-existing conditions"" under the Republican health care bill.
"
"on Tuesday, October 30th, 2018",Martha McSally,"Says she’s ""leading the fight"" to ""force insurance companies to cover pre-existing conditions.""
"
"on Monday, October 29th, 2018", FreedomWorks,"Says ""Dan McCready wants to repeal tax cuts that saves (sic) you $1,300"" per year.
"
"on Monday, October 29th, 2018",Phil Scott,"""We have the most progressive tax system in the country, right here in Vermont.""
"
"on Monday, October 29th, 2018",Tony Evers,"""Under Scott Walker, the Department of Corrections has only 18 people tracking 25,000 sex offenders"" and ""there are nearly 3,000 sex offenders that are unaccounted for.""
"
"on Sunday, October 28th, 2018", Missouri GOP,"Says Sen. Claire McCaskill was named ""most likely to be the most unpopular senator in the United States for four months in a row!""
"
"on Friday, October 26th, 2018",Ted Budd,"Kathy Manning gave ""nearly $1 million to liberals""
"
