statement_edition,statement_source,statement_text
"on Thursday, November 8th, 2018",  Infowars,"""Election fraud: Democrats are voting twice in Maryland""
"
"on Thursday, November 8th, 2018", Bloggers,"Starbucks executive ""believes white men are the root of all evil.""
"
"on Tuesday, November 6th, 2018", Bloggers,"Says ""Kurt Russell supports Trump"" by wearing a Trump T-shirt.
"
"on Tuesday, November 6th, 2018", Bloggers,"""Black Panthers Just Took Over City (Atlanta) – All Out War On Election Day""

 
"
"on Tuesday, November 6th, 2018", Bloggers,"""Judicial Watch reports show 1.7 million California votes are not registered voters!""
"
"on Tuesday, November 6th, 2018", Bloggers,"Says Stacey Abrams posed with a campaign sign that described her as a ""communist"" and part of the ""Muslim-Brotherhood""
"
"on Tuesday, November 6th, 2018", Bloggers,"That Kurt Russell said President Donald Trump is ""relentless,"" ""dedicated,"" ""determined"" and ""courageous"" and ""stands there in the face of pure evil, rock solid & ready to fight for us. God bless this brave man.""
"
"on Monday, November 5th, 2018", Bloggers,"Refugees are throwing rocks and trying ""to kill you.""

 
"
"on Monday, November 5th, 2018", Bloggers,"""Migrants in the Guatemalan Caravan stand on, and then urinate on, U.S. flag before throwing it in the trash can.""

 
"
"on Sunday, November 4th, 2018", worldnewsdailyreport.com,"Lottery winner arrested for dumping $200,000 of manure on ex-boss' lawn

 
"
"on Saturday, November 3rd, 2018", Bloggers,"Veterans should vote Republican ""because the damn Democrats blocked the VA Healthcare bill again.""

 
"
"on Friday, November 2nd, 2018", North Dakota Democratic–Nonpartisan League Party,"""Attention hunters: Voting in North Dakota could cost you your out-of-state hunting licenses.""
"
"on Friday, November 2nd, 2018", National Republican Congressional Committee,"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""
"
"on Friday, November 2nd, 2018", Bloggers,"Photo shows members of the migrant caravan dragging a Mexican official.
"
"on Friday, November 2nd, 2018",Dave Brat,"On Abigail Spanberger: ""She got $2.2 million from ActBlue...That is the George Soros resistance group.""

 
"
"on Thursday, November 1st, 2018",Donald Trump,"""Democrats let him (cop killer Luis Bracamontes) into our country,"" and ""Democrats let him stay.""
"
"on Thursday, November 1st, 2018", Bloggers,"""Soros Letter Reveals Plot to ‘Take Down Borders’ with Migrant Caravan Invasions""

 
"
"on Thursday, November 1st, 2018",Duncan Hunter,"Says ""Ammar Campa-Najjar is working to infiltrate Congress"" and ""is being supported by CAIR and the Muslim Brotherhood.""
"
"on Wednesday, October 31st, 2018", Bloggers,"George Soros was an SS officer.
"
"on Tuesday, October 30th, 2018", Facebook posts,"""As some of you may know I am the recent $3.4 million lotto winner. I’d like to spread some positivity so I’m sending $1,000 to the first 100k people that share this.""
"
"on Monday, October 29th, 2018", Bloggers,"The pipe bombs were never mailed.
"
"on Monday, October 29th, 2018", Bloggers,"The pipe bomb suspect’s van was staged.
"
"on Monday, October 29th, 2018", Bloggers,"""National Geographic’s photo of the year"" is a great white shark leaping out of the water.

 
"
"on Monday, October 29th, 2018", Bloggers,"A ""man surpasses Tesla by inventing an electric car that never needs charging.""
"
